其他,#genre#
CCTV-164K,http://148.135.93.213:81/live.php?id=CCTV16-4K-av3a$线路1
CCTV-164K2160,http://bl.dchwtq.asia:10000/rtp/239.69.1.249:11136$线路1
CCTV-4K,http://27.222.3.214/liveali-tp4K.cctv.cn/live/4K10M.stream/playlist.m3u8$线路1
CCTV-164K,http://livetv.wqwqwq.sbs/gaoma/cctv4k16.m3u8$线路2
CCTV-164K2160,http://bl.dchwtq.asia:10000/rtp/239.69.1.249:11136$线路2
CCTV-4K,http://110.42.45.89:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv$线路2
CCTV-164K,http://39.134.136.161:6610/000000001000/5000000008000023254/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000008000023254$线路3
CCTV-4K,http://148.135.93.213:81/live.php?id=CCTV4K-av3a$线路3
CCTV-164K,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1$线路4
CCTV-4K,http://tv.kmhlzxs.top:35455/gaoma/cctv4k.m3u8$线路4
CCTV-164K,http://livetv.wqwqwq.sbs/itv/5000000008000023254.m3u8?cdn=bestzb$线路5
CCTV-4K,http://livetv.wqwqwq.sbs/gaoma/cctv4k.m3u8$线路5
CCTV-164K,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_CCTV-16-4K$线路6
CCTV-4K,http://3.itv.nctv.top:35455/gaoma/cctv4k.m3u8$线路6
CCTV-164K,http://livetv.wqwqwq.sbs/gaoma/cctv4k16.m3u8$线路7
CCTV-4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1$线路7
CCTV-4K,http://www.furymax.top:85/rtp/239.69.1.13:9718$线路8
CCTV-4K,http://home.wwang.pw:35455/gaoma/cctv4k.m3u8$线路9
CCTV-4K,http://110.42.45.89:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv$线路10
CCTV-4K,http://dsm.huarunguoji.top:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv$线路11
CCTV-4K,http://home.wwang.pw:35455/gaoma/cctv4k.m3u8$线路12
CCTV-4K,http://livetv.wqwqwq.sbs/gaoma/cctv4k.m3u8$线路13
CCTV-4K,http://www.clmy.cc:35455/gaoma/cctv4k_10m.m3u8$线路14
CCTV-4K,http://220.173.254.6:6666/udp/239.81.0.69:4056$线路15
CCTV-4K,http://220.173.254.6:6666/udp/239.81.0.71:4056$线路16
